Episode, (Transfer RGB), (Transfer RGBD)
826,1.02E+01,1.32E+01
827,1.02E+01,1.33E+01
828,1.02E+01,5.33E+00
829,1.02E+01,9.73E+00
830,1.73E-01,8.18E+00
831,1.76E+00,3.03E+00
832,1.24E-01,8.63E+00
833,3.31E+00,1.16E+01
834,3.42E+00,8.70E+00
835,3.31E+00,6.11E+00
836,3.42E+00,8.35E+00
837,3.32E+00,1.18E+01
838,6.05E+00,1.52E+01
839,7.99E+00,4.10E+00
840,7.99E+00,1.06E+01
841,7.99E+00,7.63E+00
842,7.99E+00,6.57E+00
843,1.27E+01,4.87E+00
844,1.27E+01,7.17E+00
845,1.01E-01,3.74E+00
846,7.62E+00,9.79E+00
847,7.62E+00,8.30E+00
848,7.62E+00,9.36E+00
849,7.62E+00,1.12E+01
850,3.31E+00,8.76E+00
851,7.35E+00,8.56E+00
852,7.24E+00,1.07E+01
853,7.34E+00,1.07E+01
854,3.62E+00,5.68E+00
855,3.62E+00,5.04E+00
856,7.43E+00,8.50E+00
857,1.69E+00,9.21E+00
858,2.23E+00,1.29E+01
859,1.43E+00,5.99E+00
860,2.91E-01,1.21E+01
861,1.01E+00,1.02E+01
862,1.63E-01,1.20E+01
